file_path,word,annotid,transcription
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,dress,0x0e4e79,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,backpack,0x3620a9,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,backpack,0xbb00da,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,backpack,0x1e7db2,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,backpack,0xff80fc,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,backpack,0xb9368c,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,backpack,0x5cde62,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,backpack,0x1cbc0f,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,backpack,0x1b0bd9,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,backpack,0x4c9780,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,backpack,0xb3f30e,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,backpack,0xfee573,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,backpack,0xf7a95d,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,backpack,0x8c9468,###
