file_path,object_pho,id_pho,time_start_pho,time_end_pho
/Volumes/pn-opus/Seedlings/Subject_Files/08/08_17/Home_Visit/Coding/Video_Annotation/08_17_sparse_code.opf,%pho: u6dis,0x57dc8a,00:41:13.255000,00:41:13.255000
/Volumes/pn-opus/Seedlings/Subject_Files/08/08_17/Home_Visit/Coding/Video_Annotation/08_17_sparse_code.opf,%pho: OdI,0x2bc37a,00:46:52.726000,00:46:52.726000
/Volumes/pn-opus/Seedlings/Subject_Files/08/08_17/Home_Visit/Coding/Video_Annotation/08_17_sparse_code.opf,%pho: mUpi,0xb57b00,00:54:18.532000,00:54:18.532000
/Volumes/pn-opus/Seedlings/Subject_Files/08/08_17/Home_Visit/Coding/Video_Annotation/08_17_sparse_code.opf,%pho: meubic,0xdbd0fc,00:55:12.655000,00:55:12.655000
/Volumes/pn-opus/Seedlings/Subject_Files/08/08_11/Home_Visit/Coding/Video_Annotation/08_11_sparse_code.opf,%pho: dEs,0x78a8e8,00:17:19.744000,00:17:19.744000
/Volumes/pn-opus/Seedlings/Subject_Files/27/27_10/Home_Visit/Coding/Video_Annotation/27_10_sparse_code.opf,%pho: mej6,0xc7efd2,00:56:27.714000,00:56:27.714000
/Volumes/pn-opus/Seedlings/Subject_Files/11/11_17/Home_Visit/Coding/Video_Annotation/11_17_sparse_code.opf,%pho: wAndIs,0xbfd272,00:23:55.665000,00:23:55.665000
/Volumes/pn-opus/Seedlings/Subject_Files/11/11_17/Home_Visit/Coding/Video_Annotation/11_17_sparse_code.opf,%pho: tItu,0xabdbb0,00:25:13.858000,00:25:13.858000
/Volumes/pn-opus/Seedlings/Subject_Files/11/11_17/Home_Visit/Coding/Video_Annotation/11_17_sparse_code.opf,%pho: uEdis,0x11514a,00:36:00.620000,00:36:00.620000
/Volumes/pn-opus/Seedlings/Subject_Files/11/11_17/Home_Visit/Coding/Video_Annotation/11_17_sparse_code.opf,%pho: w6dis,0x6a03af,00:36:48.423000,00:36:48.423000
/Volumes/pn-opus/Seedlings/Subject_Files/11/11_17/Home_Visit/Coding/Video_Annotation/11_17_sparse_code.opf,%pho: midis,0x07e817,00:37:12.668000,00:37:12.668000
/Volumes/pn-opus/Seedlings/Subject_Files/11/11_17/Home_Visit/Coding/Video_Annotation/11_17_sparse_code.opf,%pho: 6dis,0x37bacd,00:51:58.559000,00:51:58.559000
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_13/Home_Visit/Coding/Video_Annotation/01_13_sparse_code.opf,%pho: ###,0x1fe662,00:40:17.127000,00:40:17.127000
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_13/Home_Visit/Coding/Video_Annotation/01_13_sparse_code.opf,%pho: ###,0x17aa35,00:54:07.680000,00:54:07.680000
/Volumes/pn-opus/Seedlings/Subject_Files/30/30_14/Home_Visit/Coding/Video_Annotation/30_14_sparse_code.opf,%pho: au,0xe52ac8,00:14:29.103000,00:14:29.103000
/Volumes/pn-opus/Seedlings/Subject_Files/12/12_17/Home_Visit/Coding/Video_Annotation/12_17_sparse_code.opf,%pho: ue6do,0x7deb18,00:15:22.132000,00:15:22.132000
/Volumes/pn-opus/Seedlings/Subject_Files/12/12_17/Home_Visit/Coding/Video_Annotation/12_17_sparse_code.opf,%pho: 6do,0xa1ff18,00:15:24.022000,00:15:24.022000
/Volumes/pn-opus/Seedlings/Subject_Files/12/12_17/Home_Visit/Coding/Video_Annotation/12_17_sparse_code.opf,%pho: dE6,0x250039,00:22:54.847000,00:22:54.847000
/Volumes/pn-opus/Seedlings/Subject_Files/12/12_17/Home_Visit/Coding/Video_Annotation/12_17_sparse_code.opf,%pho: d6bax,0xb7d517,00:52:20.202000,00:52:20.202000
/Volumes/pn-opus/Seedlings/Subject_Files/12/12_17/Home_Visit/Coding/Video_Annotation/12_17_sparse_code.opf,%pho: aisi6bU,0x9f5268,00:53:20.363000,00:53:20.363000
/Volumes/pn-opus/Seedlings/Subject_Files/06/06_12/Home_Visit/Coding/Video_Annotation/06_12_sparse_code.opf,%pho: ha,0x926048,00:10:34.035000,00:10:34.035000
/Volumes/pn-opus/Seedlings/Subject_Files/06/06_12/Home_Visit/Coding/Video_Annotation/06_12_sparse_code.opf,%pho: da,0x54fd75,00:20:21.859000,00:20:21.859000
/Volumes/pn-opus/Seedlings/Subject_Files/36/36_16/Home_Visit/Coding/Video_Annotation/36_16_sparse_code.opf,%pho: A?o:,0xe07950,00:36:20.134000,00:36:20.134000
/Volumes/pn-opus/Seedlings/Subject_Files/22/22_13/Home_Visit/Coding/Video_Annotation/22_13_sparse_code.opf,%pho: ###,0x5a095c,00:27:43.484000,00:27:43.484000
/Volumes/pn-opus/Seedlings/Subject_Files/10/10_17/Home_Visit/Coding/Video_Annotation/10_17_sparse_code.opf,%pho: m6mo,0x8e8cb4,00:54:44.638000,00:54:44.638000
/Volumes/pn-opus/Seedlings/Subject_Files/10/10_17/Home_Visit/Coding/Video_Annotation/10_17_sparse_code.opf,%pho: b&gUpH,0xde8d77,00:57:39.279000,00:57:39.279000
/Volumes/pn-opus/Seedlings/Subject_Files/29/29_12/Home_Visit/Coding/Video_Annotation/29_12_sparse_code.opf,%pho: dak,0x0ce0d9,00:06:53.214000,00:06:53.214000
/Volumes/pn-opus/Seedlings/Subject_Files/29/29_12/Home_Visit/Coding/Video_Annotation/29_12_sparse_code.opf,%pho: n&na,0x3f1a9b,00:28:05.833000,00:28:05.833000
/Volumes/pn-opus/Seedlings/Subject_Files/29/29_13/Home_Visit/Coding/Video_Annotation/29_13_sparse_code.opf,%pho: dAk,0x40ff79,00:24:51.682000,00:24:51.682000
/Volumes/pn-opus/Seedlings/Subject_Files/33/33_13/Home_Visit/Coding/Video_Annotation/33_13_sparse_code.opf,%pho: nu:,0xde91df,00:11:13.497000,00:11:13.497000
